cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu_total,ram
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016677888
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,2017095680
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,2017812480
0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2046001152
0.0,1.0,1.0,0.0,0.0,0.0,100.0,2.0,13.2,2073677824
0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,12.6,2100719616
0.0,2.0,3.0,3.0,1.0,2.9,100.0,1.0,13.9,2126843904
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2152566784
0.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,12.8,2180141056
1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.6,2208284672
0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,12.7,2235883520
0.0,1.0,0.0,2.0,0.0,0.0,100.0,0.0,12.5,2263089152
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2287341568
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.7,2345279488
0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,12.6,2354257920
1.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,12.6,2370891776
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2387652608
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.6,2340290560
0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,12.6,2341433344
0.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,13.0,2343337984
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2345242624
0.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,12.6,2346741760
0.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,12.8,2343211008
0.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,12.6,2359844864
0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,12.6,2340925440
1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2342195200
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.5,2343718912
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2345496576
0.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,12.5,2347020288
0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,12.7,2347520000
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.6,2349043712
0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,12.7,2350694400
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.6,2360217600
0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,12.7,2387091456
0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,12.6,2418626560
0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2408595456
0.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,12.5,2425356288
0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,12.6,2441609216
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.7,2398679040
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.5,2399072256
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2400595968
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2402246656
0.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,12.6,2403897344
1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.8,2405167104
0.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,12.5,2413322240
2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2399289344
0.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,12.7,2399989760
0.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,12.6,2401673216
0.0,0.0,0.0,2.0,0.0,0.0,100.0,2.0,12.8,2403577856
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.5,2404847616
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.7,2406879232
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2408148992
0.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,12.6,2413576192
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2441891840
0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2469572608
0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,12.7,2481635328
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.5,2461573120
0.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,12.7,2478587904
0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,12.6,2494967808
0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,12.7,2457243648
1.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,12.7,2457128960
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.5,2458939392
0.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,12.6,2460590080
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,12.6,2461859840
